ID,CreatedAt,Phone,Net Model,Model Median,Model mAP,Delegate
aNmnpTcqhrII0iej0Kij,2024-09-14 15:14:49.198000+00:00,Samsung Galaxy S24,MobileNetV3-small,10547969,15.4,GPU
aNmnpTcqhrII0iej0Kij,2024-09-14 15:14:49.198000+00:00,Samsung Galaxy S24,MobileNetV1,10149590,18.0,GPU
l20CFex0Kb7YtYy1AtzW,2024-09-14 12:23:46.771000+00:00,Samsung Galaxy S21,MobileNetV3-large,63574692,22.6,CPU1
l20CFex0Kb7YtYy1AtzW,2024-09-14 12:23:46.771000+00:00,Samsung Galaxy S21,MobileNetV2,9876462,22.0,CPU1
l20CFex0Kb7YtYy1AtzW,2024-09-14 12:23:46.771000+00:00,Samsung Galaxy S21,YoloV5s,718469769,36.7,CPU1
l20CFex0Kb7YtYy1AtzW,2024-09-14 12:23:46.771000+00:00,Samsung Galaxy S21,MobileNetV3-small,25303366,15.4,CPU1
l20CFex0Kb7YtYy1AtzW,2024-09-14 12:23:46.771000+00:00,Samsung Galaxy S21,MobileNetV1,21776980,18.0,CPU1
9qZSrCxxNNb5R52DImBh,2024-09-14 18:33:43.353000+00:00,Motorola Razr 50 Ultra,MobileNetV3-large,6751953,22.6,GPU
9qZSrCxxNNb5R52DImBh,2024-09-14 18:33:43.353000+00:00,Motorola Razr 50 Ultra,MobileNetV2,3858515,22.0,GPU
9qZSrCxxNNb5R52DImBh,2024-09-14 18:33:43.353000+00:00,Motorola Razr 50 Ultra,YoloV5s,44826849,36.7,GPU
9qZSrCxxNNb5R52DImBh,2024-09-14 18:33:43.353000+00:00,Motorola Razr 50 Ultra,MobileNetV3-small,5057865,15.4,GPU
9qZSrCxxNNb5R52DImBh,2024-09-14 18:33:43.353000+00:00,Motorola Razr 50 Ultra,MobileNetV1,5719479,18.0,GPU
hRBSmtRlE1zZBMIvfpZe,2024-09-14 14:46:39.319000+00:00,Samsung Galaxy S24,MobileNetV3-large,21053105,22.6,CPU5
hRBSmtRlE1zZBMIvfpZe,2024-09-14 14:46:39.319000+00:00,Samsung Galaxy S24,MobileNetV2,7528535,22.0,CPU5
hRBSmtRlE1zZBMIvfpZe,2024-09-14 14:46:39.319000+00:00,Samsung Galaxy S24,YoloV5s,226524941,36.7,CPU5
hRBSmtRlE1zZBMIvfpZe,2024-09-14 14:46:39.319000+00:00,Samsung Galaxy S24,MobileNetV3-small,12299043,15.4,CPU5
hRBSmtRlE1zZBMIvfpZe,2024-09-14 14:46:39.319000+00:00,Samsung Galaxy S24,MobileNetV1,12965058,18.0,CPU5
KW6MMApT79QxHq2ows7J,2024-09-14 17:51:46.526000+00:00,Motorola Razr 50 Ultra,MobileNetV3-large,22043802,22.6,CPU4
KW6MMApT79QxHq2ows7J,2024-09-14 17:51:46.526000+00:00,Motorola Razr 50 Ultra,MobileNetV2,4744115,22.0,CPU4
KW6MMApT79QxHq2ows7J,2024-09-14 17:51:46.526000+00:00,Motorola Razr 50 Ultra,YoloV5s,209999322,36.7,CPU4
KW6MMApT79QxHq2ows7J,2024-09-14 17:51:46.526000+00:00,Motorola Razr 50 Ultra,MobileNetV3-small,10745182,15.4,CPU4
KW6MMApT79QxHq2ows7J,2024-09-14 17:51:46.526000+00:00,Motorola Razr 50 Ultra,MobileNetV1,8003776,18.0,CPU4
wkFpJ7fofWJG4ORjHhBv,2024-09-14 17:37:40.340000+00:00,Motorola Razr 50 Ultra,MobileNetV3-large,28356615,22.6,CPU2
wkFpJ7fofWJG4ORjHhBv,2024-09-14 17:37:40.340000+00:00,Motorola Razr 50 Ultra,MobileNetV2,4423515,22.0,CPU2
wkFpJ7fofWJG4ORjHhBv,2024-09-14 17:37:40.340000+00:00,Motorola Razr 50 Ultra,YoloV5s,367257083,36.7,CPU2
